loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
1.0,2.0, Graduate, No,9600000.0,29900000.0,12.0,778.0,2400000.0,17600000.0,22700000.0,8000000.0,
2.0,0.0, Not Graduate,,4100000.0,,8.0,417.0,2700000.0,2200000.0,8800000.0,3300000.0,
3.0,3.0, Graduate,,9100000.0,29700000.0,20.0,506.0,7100000.0,,33300000.0,12800000.0,
4.0,3.0, Graduate, No,8200000.0,,8.0,467.0,,3300000.0,23300000.0,, Rejected
5.0,5.0, Not Graduate, Yes,9800000.0,24200000.0,20.0,,12400000.0,8200000.0,29400000.0,, Rejected
6.0,0.0, Graduate,,4800000.0,13500000.0,,319.0,6800000.0,8300000.0,13700000.0,5100000.0, Rejected
,5.0,, No,8700000.0,33000000.0,4.0,678.0,22500000.0,14800000.0,,4300000.0,
,2.0,, Yes,5700000.0,,20.0,382.0,13200000.0,5700000.0,11800000.0,, Rejected
,0.0, Graduate, Yes,800000.0,2200000.0,20.0,,,,2800000.0,600000.0,
10.0,5.0, Not Graduate, No,,,10.0,388.0,,,3300000.0,1600000.0, Rejected
11.0,4.0, Graduate, Yes,,11200000.0,2.0,547.0,8100000.0,,9500000.0,3100000.0, Approved
,, Not Graduate, Yes,6700000.0,22700000.0,18.0,,15300000.0,5800000.0,20400000.0,6400000.0,
13.0,3.0, Not Graduate,,5000000.0,,,311.0,6400000.0,9600000.0,14600000.0,, Rejected
14.0,, Graduate, Yes,,,14.0,,,16600000.0,20900000.0,5000000.0, Approved
15.0,1.0,, No,1900000.0,7400000.0,6.0,469.0,1900000.0,1200000.0,,1900000.0, Rejected
,5.0, Not Graduate, No,,,10.0,794.0,5700000.0,3900000.0,16400000.0,4400000.0, Approved
17.0,2.0, Graduate, Yes,500000.0,1600000.0,4.0,663.0,1300000.0,,1300000.0,, Approved
18.0,4.0, Not Graduate, Yes,2900000.0,9400000.0,14.0,780.0,2900000.0,2800000.0,6700000.0,4300000.0, Approved
,2.0, Graduate, No,2700000.0,10300000.0,10.0,736.0,1000000.0,0.0,6200000.0,3300000.0, Approved
,5.0, Graduate, No,6300000.0,14600000.0,12.0,,,3500000.0,23500000.0,5900000.0, Approved
21.0,, Graduate, No,5000000.0,,,,9500000.0,1600000.0,18000000.0,6100000.0, Rejected
,4.0, Graduate,,,14000000.0,16.0,530.0,3800000.0,11300000.0,22200000.0,,
23.0,4.0, Graduate, Yes,6500000.0,25700000.0,18.0,311.0,13100000.0,1700000.0,19500000.0,8500000.0,
24.0,0.0, Not Graduate, Yes,500000.0,1400000.0,2.0,,900000.0,600000.0,1100000.0,, Approved
,0.0, Not Graduate,,,9800000.0,,324.0,3800000.0,,10000000.0,3300000.0, Rejected
26.0,5.0, Not Graduate, No,3100000.0,,20.0,514.0,7900000.0,3100000.0,6600000.0,2600000.0, Rejected
,4.0, Graduate, No,8200000.0,28100000.0,,696.0,11500000.0,10600000.0,,7200000.0, Approved
28.0,, Not Graduate, Yes,2400000.0,5600000.0,,662.0,4500000.0,4200000.0,5400000.0,2500000.0, Approved
29.0,5.0, Not Graduate,,7000000.0,,6.0,336.0,2300000.0,,27500000.0,9700000.0, Rejected
30.0,3.0, Not Graduate, Yes,9000000.0,31500000.0,10.0,850.0,21800000.0,12400000.0,33700000.0,8000000.0,
31.0,2.0, Not Graduate, No,9800000.0,25300000.0,,313.0,20200000.0,5200000.0,,9300000.0, Rejected
32.0,, Graduate, No,,12000000.0,6.0,363.0,3600000.0,7400000.0,21700000.0,, Rejected
33.0,, Not Graduate, Yes,800000.0,1600000.0,10.0,,700000.0,200000.0,2200000.0,, Rejected
34.0,5.0, Not Graduate, Yes,8400000.0,,,830.0,3800000.0,3900000.0,19900000.0,, Approved
35.0,3.0, Graduate, No,,11900000.0,,612.0,9700000.0,1200000.0,,5800000.0, Approved
36.0,2.0, Graduate, Yes,1700000.0,3400000.0,8.0,691.0,2700000.0,2800000.0,6000000.0,900000.0, Approved
,3.0, Not Graduate, No,,6200000.0,18.0,,3400000.0,700000.0,5300000.0,1400000.0, Approved
,5.0, Graduate, Yes,8000000.0,,6.0,348.0,6400000.0,,16700000.0,, Rejected
,5.0,, No,,,16.0,830.0,7000000.0,1300000.0,10000000.0,2900000.0,
40.0,3.0,, Yes,1500000.0,,6.0,,100000.0,200000.0,5600000.0,900000.0,
41.0,1.0, Graduate, No,7800000.0,18100000.0,2.0,712.0,8600000.0,11200000.0,21700000.0,9000000.0, Approved
42.0,2.0, Not Graduate, No,9100000.0,24900000.0,,822.0,22300000.0,12100000.0,,5200000.0, Approved
,3.0, Graduate, No,,3400000.0,6.0,,200000.0,1500000.0,3900000.0,800000.0, Rejected
44.0,, Graduate, Yes,800000.0,2300000.0,12.0,342.0,2200000.0,1300000.0,,, Rejected
45.0,5.0, Graduate, No,6500000.0,,18.0,787.0,18200000.0,,,5400000.0, Approved
46.0,4.0, Graduate, No,8000000.0,27800000.0,,331.0,13000000.0,6300000.0,21400000.0,10900000.0, Rejected
47.0,3.0,, Yes,4200000.0,14600000.0,,679.0,,6900000.0,8700000.0,4900000.0, Approved
48.0,1.0, Graduate, Yes,4900000.0,19100000.0,14.0,677.0,5400000.0,9100000.0,,6500000.0,
,3.0,, No,5500000.0,20500000.0,,634.0,800000.0,8600000.0,18500000.0,8200000.0, Approved
,1.0, Not Graduate, Yes,9500000.0,,,662.0,,10500000.0,37700000.0,11700000.0, Approved
,4.0,, No,7300000.0,25400000.0,16.0,502.0,500000.0,1800000.0,20500000.0,10500000.0, Rejected
52.0,, Graduate, No,8700000.0,24700000.0,,435.0,6800000.0,3500000.0,21800000.0,11300000.0,
53.0,5.0,, No,,7600000.0,,689.0,8700000.0,100000.0,9300000.0,3400000.0, Approved
54.0,, Not Graduate, Yes,8400000.0,23000000.0,,,15400000.0,14800000.0,31900000.0,8200000.0, Approved
,2.0, Graduate, Yes,5100000.0,,20.0,,7400000.0,9300000.0,19400000.0,3400000.0, Approved
56.0,5.0, Not Graduate, No,6700000.0,24500000.0,12.0,,1200000.0,5600000.0,16300000.0,6200000.0,
57.0,2.0,, No,4300000.0,10600000.0,18.0,431.0,2100000.0,1500000.0,9300000.0,5200000.0, Rejected
58.0,5.0,, Yes,9300000.0,30500000.0,18.0,841.0,,10300000.0,34600000.0,, Approved
59.0,1.0, Graduate, No,7400000.0,18400000.0,20.0,421.0,18500000.0,9100000.0,17500000.0,4100000.0, Rejected
60.0,4.0, Not Graduate, Yes,5500000.0,,16.0,797.0,-100000.0,4900000.0,18600000.0,, Approved
,2.0, Not Graduate, No,8500000.0,,18.0,478.0,23800000.0,,25900000.0,, Rejected
62.0,3.0, Not Graduate, Yes,,30500000.0,18.0,,4700000.0,1900000.0,26500000.0,9300000.0, Approved
63.0,5.0, Not Graduate, Yes,,,,365.0,24400000.0,8600000.0,27400000.0,4700000.0,
64.0,3.0, Not Graduate, Yes,3300000.0,7500000.0,20.0,586.0,1600000.0,,10500000.0,2900000.0,
65.0,4.0, Graduate,,,12300000.0,18.0,,7600000.0,6900000.0,,2800000.0, Approved
66.0,1.0, Graduate, No,4100000.0,10300000.0,12.0,364.0,9500000.0,,14900000.0,2800000.0, Rejected
,3.0, Not Graduate, No,,,10.0,715.0,6100000.0,11900000.0,24100000.0,11900000.0,
68.0,0.0, Not Graduate, Yes,,10100000.0,20.0,693.0,200000.0,1700000.0,5900000.0,1400000.0, Rejected
69.0,, Graduate, No,,,4.0,777.0,5500000.0,3100000.0,11800000.0,5500000.0, Approved
70.0,, Graduate,,1900000.0,,12.0,312.0,4000000.0,,4900000.0,2400000.0, Rejected
71.0,,, Yes,,1500000.0,20.0,340.0,100000.0,200000.0,,600000.0, Rejected
72.0,5.0,, Yes,5300000.0,18600000.0,4.0,386.0,2700000.0,9700000.0,11900000.0,4200000.0, Approved
73.0,5.0, Not Graduate,,7000000.0,,4.0,418.0,18400000.0,11700000.0,21500000.0,7600000.0, Rejected
74.0,3.0, Not Graduate, Yes,5800000.0,16700000.0,,735.0,3900000.0,9400000.0,,5600000.0, Approved
75.0,2.0, Not Graduate, No,,8400000.0,6.0,494.0,6500000.0,3800000.0,5600000.0,2000000.0, Rejected
76.0,2.0, Not Graduate,,,6500000.0,18.0,,600000.0,2500000.0,,, Approved
77.0,4.0, Graduate,,,,,697.0,14300000.0,7800000.0,12900000.0,6300000.0,
,, Graduate, No,9000000.0,33500000.0,8.0,801.0,11600000.0,8900000.0,35400000.0,11100000.0,
79.0,, Not Graduate, No,8500000.0,29400000.0,12.0,,17600000.0,5600000.0,25200000.0,9000000.0, Approved
80.0,0.0, Not Graduate, No,,1400000.0,14.0,639.0,1900000.0,700000.0,2400000.0,900000.0, Approved
81.0,4.0, Graduate, No,,8900000.0,4.0,470.0,1300000.0,2200000.0,,2000000.0, Rejected
82.0,0.0, Not Graduate, No,8800000.0,31200000.0,4.0,826.0,,500000.0,33300000.0,8600000.0, Approved
83.0,, Not Graduate, Yes,9900000.0,21200000.0,16.0,363.0,25500000.0,11400000.0,26600000.0,, Rejected
84.0,3.0, Graduate,,,8600000.0,20.0,,9400000.0,300000.0,10300000.0,3300000.0, Approved
85.0,3.0,,,3000000.0,8200000.0,16.0,713.0,,5800000.0,,, Approved
86.0,2.0, Graduate, No,6800000.0,21200000.0,16.0,439.0,17100000.0,4700000.0,,3600000.0, Rejected
87.0,, Not Graduate, Yes,1100000.0,3800000.0,18.0,387.0,1300000.0,,3800000.0,, Rejected
88.0,, Not Graduate, Yes,8700000.0,28300000.0,8.0,402.0,20400000.0,,27900000.0,10200000.0, Rejected
89.0,4.0, Graduate,,2000000.0,8000000.0,6.0,,5100000.0,2600000.0,3900000.0,2900000.0,
90.0,2.0, Not Graduate,,9800000.0,37600000.0,,,24100000.0,0.0,23400000.0,, Approved
,, Graduate, No,5700000.0,21100000.0,18.0,489.0,500000.0,4300000.0,12500000.0,, Rejected
,4.0, Graduate, No,,20700000.0,18.0,540.0,19200000.0,,22400000.0,12700000.0, Rejected
93.0,4.0, Graduate, No,3800000.0,8900000.0,4.0,844.0,9100000.0,3500000.0,13100000.0,, Approved
94.0,1.0, Graduate, No,,,10.0,452.0,900000.0,1100000.0,,2100000.0,
,2.0, Graduate, No,1000000.0,2000000.0,10.0,366.0,1200000.0,400000.0,3200000.0,1300000.0, Rejected
96.0,, Graduate, No,300000.0,1100000.0,,300.0,100000.0,500000.0,700000.0,400000.0, Approved
97.0,, Graduate, Yes,6600000.0,15000000.0,,470.0,,,18200000.0,7000000.0, Rejected
98.0,2.0, Not Graduate, No,,25000000.0,,861.0,14700000.0,8500000.0,23200000.0,7300000.0, Approved
99.0,4.0, Graduate, No,9400000.0,29400000.0,12.0,562.0,25900000.0,15200000.0,36400000.0,7100000.0, Approved
100.0,, Graduate, No,,10800000.0,14.0,463.0,2400000.0,4800000.0,,4700000.0, Rejected
101.0,4.0,,,,,12.0,478.0,700000.0,100000.0,,100000.0, Rejected
102.0,2.0, Not Graduate, Yes,300000.0,1100000.0,2.0,702.0,300000.0,200000.0,500000.0,, Approved
103.0,2.0, Not Graduate, Yes,4300000.0,12900000.0,20.0,618.0,11400000.0,3600000.0,11400000.0,2400000.0, Approved
,4.0, Graduate,,,4500000.0,12.0,633.0,700000.0,1700000.0,4100000.0,1900000.0, Approved
105.0,,, Yes,6200000.0,23600000.0,,331.0,,10300000.0,23800000.0,8700000.0, Rejected
106.0,3.0, Not Graduate, Yes,4200000.0,9700000.0,,841.0,7800000.0,300000.0,16700000.0,5100000.0, Approved
107.0,4.0, Not Graduate, Yes,9000000.0,18100000.0,12.0,,600000.0,16500000.0,20800000.0,11600000.0,
108.0,0.0, Graduate, No,2700000.0,10600000.0,6.0,591.0,1300000.0,2700000.0,9900000.0,, Approved
109.0,1.0,, Yes,9700000.0,35900000.0,2.0,719.0,,7600000.0,20400000.0,10900000.0, Approved
110.0,2.0, Graduate, No,3300000.0,6800000.0,14.0,317.0,3400000.0,,11700000.0,3600000.0, Rejected
111.0,0.0,,,,1100000.0,,,800000.0,200000.0,900000.0,100000.0, Approved
,3.0,, Yes,7400000.0,18200000.0,14.0,302.0,,3100000.0,,5000000.0, Rejected
113.0,5.0,, No,7100000.0,19700000.0,8.0,,7300000.0,5600000.0,25300000.0,9800000.0,
114.0,5.0, Not Graduate, Yes,7300000.0,22100000.0,18.0,879.0,19500000.0,,,9800000.0, Approved
115.0,, Not Graduate, No,8400000.0,,14.0,437.0,,,33400000.0,8100000.0,
116.0,0.0, Not Graduate, Yes,3300000.0,,,797.0,600000.0,,7700000.0,3300000.0, Approved
117.0,4.0, Not Graduate, Yes,5800000.0,23200000.0,18.0,456.0,16100000.0,4200000.0,22600000.0,7500000.0, Rejected
118.0,0.0, Not Graduate, No,600000.0,1600000.0,6.0,647.0,1500000.0,600000.0,1500000.0,700000.0, Approved
